"round","learning_rate","max_depth","mds","sb_sample","spw","auc","Fmeasure","precision","recall","fnm","x","y","n"
1,1,2,0,0.5,9,0.63841829707533,0.272217858078031,0.180285793562708,0.555460568497542,"dt_x_custInfo_cc_y.train30.test30.roll30_ret_grid.csv","custInfo","cc","y.train30.test30.roll30"
2,1,8,0,0.5,9,0.600073240168391,0.254175212423088,0.193357851331773,0.370805727719598,"dt_x_custInfo_cc_y.train30.test30.roll30_ret_grid.csv","custInfo","cc","y.train30.test30.roll30"
3,1,2,0,1,9,0.61843112153756,0.253920604523575,0.167531757956563,0.524257319940158,"dt_x_custInfo_cc_y.train30.test30.roll30_ret_grid.csv","custInfo","cc","y.train30.test30.roll30"
4,1,8,0,1,9,0.603349369823736,0.265818602345944,0.216641981957722,0.343876896772815,"dt_x_custInfo_cc_y.train30.test30.roll30_ret_grid.csv","custInfo","cc","y.train30.test30.roll30"
1,1,2,0,0.5,30,0.659816094076166,0.120638526089974,0.0668952487579596,0.613607188703466,"dt_x_custInfo_cc_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9508"
2,1,8,0,0.5,30,0.652206783923317,0.118345461509,0.0657074000567054,0.594993581514763,"dt_x_custInfo_cc_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9508"
3,1,2,0,1,30,0.626966809889875,0.11342477435861,0.0637736753776073,0.51219512195122,"dt_x_custInfo_cc_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9508"
4,1,8,0,1,30,0.589291521257552,0.165413533834586,0.128223242670434,0.232991014120668,"dt_x_custInfo_cc_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9508"
1,1,2,0,0.5,20,0.613073093655584,0.140697078421322,0.0818242790073776,0.501598903608954,"dt_x_custInfo_cc_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9538"
2,1,8,0,0.5,20,0.609609333581306,0.13807874015748,0.080081835452287,0.500685244403837,"dt_x_custInfo_cc_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9538"
3,1,2,0,1,20,0.583221214500852,0.122728090696419,0.0706394144455186,0.467336683417085,"dt_x_custInfo_cc_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9538"
4,1,8,0,1,20,0.568488847914143,0.151765828825962,0.116426653649011,0.217907720420283,"dt_x_custInfo_cc_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","cc","y.train60.test30.roll30-9538"
1,1,2,0,0.5,20,0.613073093655584,0.140697078421322,0.0818242790073776,0.501598903608954,"dt_x_custInfo_cc_y.train90.test30.roll30_ret_grid.csv","custInfo","cc","y.train90.test30.roll30"
2,1,8,0,0.5,20,0.609609333581306,0.13807874015748,0.080081835452287,0.500685244403837,"dt_x_custInfo_cc_y.train90.test30.roll30_ret_grid.csv","custInfo","cc","y.train90.test30.roll30"
3,1,2,0,1,20,0.583221214500852,0.122728090696419,0.0706394144455186,0.467336683417085,"dt_x_custInfo_cc_y.train90.test30.roll30_ret_grid.csv","custInfo","cc","y.train90.test30.roll30"
